title,author,isbn,publicationYear,numberOfCopies
The Ultimate Secrets of Total Self-Confidence,Robert Anthony,9781101042892,1986,3
Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",9780061899874,2009,7
Bring Me Back,B A Paris,9780008244880,2018,10
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,9780062119209,2011,7
How to Understand Business Finance: Edition 2,Bob Cinnamon,9780749460211,2010,5
No Mercy: The brand new novel from the Queen of Crime,Martina Cole,9781472249425,2019,5
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,9781632913296,2015,8
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,9781429960748,2010,8
Batman: Year One,Frank Miller,9781401235888,2007,10
Attack on Titan: Volume 13,Hajime Isayama,9781612626864,2014,4
How To Win Friends and Influence People,Dale Carnegie,9781451621716,2010,10
Final Option: 'The best one yet',Clive Cussler,9781405941020,2019,10
Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,9781449474836,2015,10
Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,9781449474836,2015,5
Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,9781939996343,2015,7
Rework,Jason Fried,9780307463760,2010,10
The Red Signal: An Agatha Christie Short Story,Agatha Christie,9780007452170,2011,9
Dark Nights: Metal: Deluxe Edition: Issues 1-6,Scott Snyder,9781401287184,2018,5
How To Win Friends and Influence People,Dale Carnegie,9781451621716,2010,6
The Memoirs of Sherlock Holmes,Sir Arthur Conan Doyle,9780486114354,2012,3
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,9780786956890,2010,4
Permanent Record,Edward Snowden,9781250237248,2019,6
The Marine's E-Mail Order Bride: Heroes of Chance Creek Volume 4,Cora Seton,9781927036600,2015,10
Morning Star,Pierce Brown,9780345539854,2016,3
Now or Never: A Novel,Elizabeth Adler,9780307574961,2010,4
Battle Sight Zero,Gerald Seymour,9781473663527,2019,2
Shattered Bonds,Faith Hunter,9780399587993,2019,8
"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,9780007423309,2011,5
"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,9781632918031,2016,8
The Red Signal: An Agatha Christie Short Story,Agatha Christie,9780007452170,2011,5
"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,9781632918031,2016,9
Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,9780007319923,2009,9
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,9781529018592,2019,3
Death Masks,Jim Butcher,9781101128459,2003,2
"The Power of Focus: How to Hit Your Business, Personal and Financial Targets with Confidence and Certainty",Jack Canfield,9781448176007,2013,7
Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,9780062218360,2014,2
The Choice of Magic,Michael G. Manning,9781943481316,2019,4
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,9780007369218,2011,2
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,9788026804758,2014,5
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,9781101636459,2013,7
Sonic: Tangle & Whisper #3,Ian Flynn,Original pages,2019,5
Auberon,James S. A. Corey,9780356504322,2019,2
"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,9780007374038,2011,3
"Captain Marvel Vol. 1: Higher, Further, Faster, More",Kelly Sue Deconnick,9781302401580,2014,9
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,9780575087057,2010,1
Captivate: The Science of Succeeding with People,Vanessa Van Edwards,9780399564505,2017,4
My Little Pony: The Feats of Friendship #2,Ian Flynn,Original pages,2019,5
The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,9781473202993,2014,9
Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,9781632915740,2016,1
Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,9781529361353,2019,3
"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,9781626569430,2017,8
Antiques Con,Barbara Allan,9781617738760,2015,4
The Art Of Seduction,Robert Greene,9781847651402,2010,10
Maigret Goes to School,Georges Simenon,9781524705398,2018,9
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,9780575087057,2010,10
A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,9781640290112,2017,2
Antiques Chop,Barbara Allan,9781617730436,2014,3
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,9781605099408,2010,4
